loop_id,label,p2ll
0,5,1.8263348822949477
1,3,2.1577438998501894
2,3,
3,0,
4,0,
5,0,
6,5,
7,3,1.6178483337547096
8,3,1.8824598666750663
9,1,1.690629627051184
10,5,2.098587670420953
11,3,1.185777045216275
12,3,
13,1,
14,5,2.414938365453281
15,3,1.8915524389214537
16,3,1.9972429830694907
17,0,1.5058507573224462
18,0,2.429241322835273
19,0,1.9478474139481885
20,0,2.429241322835273
21,0,1.337710139862122
22,0,0.9955432528361106
23,0,2.1168118810767784
24,0,1.9531945441009388
25,0,1.4719703263590398
26,1,1.706043483455519
27,0,2.0300760333256638
28,2,4.602767940787423
29,0,1.2018621686311612
30,0,1.305253344773086
31,1,1.528220308802759
32,0,1.3541305891194457
33,1,2.2191498769318336
34,0,1.6110265375092296
35,1,1.7268578951121993
36,0,1.6488937675760915
37,1,1.211390461656065
38,0,1.628823879041204
39,0,1.0231078921488581
40,0,1.9605232858265673
41,1,2.1184446362310223
42,1,1.9653250307320123
43,1,2.621903968388736
44,1,1.3573668327932658
45,1,2.8644862578348427
46,1,
47,1,1.718251750594012
48,1,1.3412394316164793
49,3,
50,3,
51,3,1.6948833739370344
52,3,
53,1,0.8536922555502203
54,2,
55,1,1.2752990448969088
56,1,1.2752990448969088
57,1,2.9283862665501785
58,1,1.6537484446557522
59,1,2.9283862665501785
60,1,1.6744695897830728
61,1,1.8183988944287799
62,4,2.313155441296289
63,4,2.056751420910038
64,3,0.7848507813118235
65,5,1.7442787085224027
66,3,1.8470340888910242
67,3,1.6850844726797733
68,3,1.6274480669887
69,1,1.3995918010625732
70,1,1.5493148251815927
71,0,1.1302081181148123
72,1,1.5455767172857133
73,1,1.4910694235153341
74,0,1.387914289550368
75,1,
76,0,
77,0,
78,0,
79,0,1.5894389928455372
80,1,1.4111738759689085
81,1,1.4979524817224692
82,5,2.0547477890507007
83,5,1.3820498247531945
84,3,1.2023370207469852
85,3,2.763940617164953
86,3,1.2104756836003518
87,0,2.104462912241637
88,1,1.4838872210449567
89,1,1.9175828588490202
90,0,2.2877949148059153
91,1,1.5202358106846985
92,0,1.535027556678368
93,0,1.5698358561482029
94,1,1.224054483805226
95,0,2.143523486859847
96,1,1.385818373318103
97,1,1.843853530237366
98,0,1.2452315159537064
99,1,1.3892622581110405
100,1,1.716287874679348
101,0,1.6944653961492753
102,1,1.1908013373717705
103,1,1.0910224251489684
104,1,1.3972081894031545
105,1,1.8886726514768912
106,0,2.1177441030183135
107,0,2.7373600788775865
108,0,4.129525069341645
109,0,4.129525069341645
110,4,1.5931648979514634
111,1,1.2550487528078298
112,1,1.31829369678006
113,0,1.7771947875940122
114,0,
115,1,
116,1,
117,0,
118,1,
119,2,
120,0,
121,1,1.4350335806717704
122,5,1.6620746926626544
123,1,1.2083398278246502
124,1,2.5066631453267965
125,3,2.0052284156989733
126,0,1.8514629733831272
127,1,1.3846077870716622
128,1,1.6646975073408252
129,1,1.736268268918066
130,1,1.8346367021882197
131,1,1.6166744030031759
132,4,1.3634605382326992
133,0,2.295513188525521
134,0,1.8436652735309684
135,1,2.8693403437461478
136,4,1.4567289908846033
137,0,1.2863893580576926
138,0,1.5809661154044778
139,1,0.9136450625669865
140,1,0.9821942106505742
141,0,1.470761063356169
142,0,1.1608753471562412
143,0,2.3335869722373226
144,0,2.2406125529144076
145,0,2.068797511092107
146,0,1.1892213295313787
147,1,2.2000968374326337
148,1,2.0636879442463454
149,0,1.5462886325692151
150,4,
151,1,
152,0,1.7882112932484857
153,1,
154,1,
155,0,
156,0,
157,0,
158,1,1.882156238005004
159,1,2.1555343381865346
160,1,1.9112638127338815
161,1,1.6024784972344646
162,0,2.0413197709604964
163,1,
164,1,
165,0,
166,0,
167,0,
168,1,2.1577245616555754
169,1,2.295098751175623
170,0,1.46240800306905
171,0,1.2878159414245292
172,0,2.0859060635532956
173,0,1.2015990108804528
174,0,2.0859060635532956
175,0,2.2972980830625884
176,0,2.097919597161766
177,0,2.097919597161766
178,0,1.9699129303486715
179,0,1.4348362469135851
180,0,1.647917858907777
181,2,1.9973215336194767
182,1,1.551528017391957
183,0,3.1214669620105524
184,0,2.5066253156370317
185,1,1.551528017391957
186,1,1.2276745902968882
187,5,1.1004960961912527
188,5,1.947625764491568
189,3,1.8185412859084322
190,5,2.2107566531061473
191,3,1.9809523644265892
192,3,1.5396704253893168
193,3,1.4179756261112404
194,1,1.340747502102849
195,1,1.13915294469569
196,0,1.8112808764475223
197,0,1.747308742177349
198,0,2.074835239532255
199,0,1.92471446268667
200,0,2.6786298425384207
201,0,1.021415536232236
202,1,1.446270789719451
203,1,1.3947090393801767
204,0,1.2504027616845463
205,1,1.3581813597310464
206,0,1.3710545192133539
207,0,1.7020384026542592
208,0,1.9197373921176164
209,0,1.6666364705929793
210,4,1.489441823994689
211,0,1.7689276866121524
212,0,1.7093129500171582
213,1,1.5042026700168567
214,0,1.0689441314552992
215,0,2.7937805011063306
216,5,1.7031288228096733
217,0,2.7937805011063306
218,1,1.5134848311605735
219,1,1.5221697218968566
220,5,2.4067279882249792
221,1,2.1716750822371567
222,3,
223,3,
224,3,
225,3,1.5553357800808862
226,3,
227,3,
228,3,
229,3,
230,2,1.5894655612326756
231,1,1.589518802911175
232,1,1.589518802911175
233,1,1.2219922064921638
